agency_id,route_color,route_desc,route_id,route_long_name,route_short_name,route_text_color,route_type,route_name_length,start_point,end_point,is_urban
BMTC,#FFFFFF,Not Available,CS-115A,Kaval Byrasandra - Kamalanagar BEML layout,BR3074,0,3,42,Kaval Byrasandra,Kamalanagar BEML layout,0
BMTC,#FFFFFF,Not Available,C-500CA,Banashankari Bus Station - ITPL,BR2827,0,3,31,Banashankari Bus Station,ITPL,0
BMTC,#FFFFFF,Not Available,278E,Shivajinagar Bus Station - Boopa Sandra,BR1060,0,3,39,Shivajinagar Bus Station,Boopa Sandra,1
BMTC,#FFFFFF,Not Available,279C,Kempegowda Bus Station - Tata Nagara,BR1064,0,3,36,Kempegowda Bus Station,Tata Nagara,0
BMTC,#FFFFFF,Not Available,LKP-YBS,Lakshmipura MS Palya - Yeshwanthpur TTMC,BR3673,0,3,40,Lakshmipura MS Palya,Yeshwanthpur TTMC,0
BMTC,#FFFFFF,Not Available,49A,Brudavana Nagara Jinke vana - Brudavana Nagara Jinke vana,BR2312,0,3,57,Brudavana Nagara Jinke vana,Brudavana Nagara Jinke vana,0
BMTC,#FFFFFF,Not Available,279A,Krishnarajendra Market - Boopa Sandra,BR1063,0,3,37,Krishnarajendra Market,Boopa Sandra,1
BMTC,#FFFFFF,Not Available,96,Kempegowda Bus Station - Kempegowda Bus Station,BR2574,0,3,47,Kempegowda Bus Station,Kempegowda Bus Station,0
BMTC,#FFFFFF,Not Available,250JA,Kempegowda Bus Station - Thotada Guddadahalli,BR787,0,3,45,Kempegowda Bus Station,Thotada Guddadahalli,0
BMTC,#FFFFFF,Not Available,95,Kamalanagar BEML layout - Shivajinagar Bus Station,BR2566,0,3,50,Kamalanagar BEML layout,Shivajinagar Bus Station,1
BMTC,#FFFFFF,Not Available,V-314B,Kempegowda Bus Station - Halasuru Laxmipura Road,BR4052,0,3,48,Kempegowda Bus Station,Halasuru Laxmipura Road,0
BMTC,#FFFFFF,Not Available,91,Srinagara - Yeshwanthpura Railway Station,BR2556,0,3,41,Srinagara,Yeshwanthpura Railway Station,0
BMTC,#FFFFFF,Not Available,KBS-KGR-KMGT,Kempegowda Bus Station - Kommagatta,BR3544,0,3,35,Kempegowda Bus Station,Kommagatta,0
BMTC,#FFFFFF,Not Available,245LA,Baleveerana Halli - Krishnarajendra Market,BR716,0,3,42,Baleveerana Halli,Krishnarajendra Market,1
BMTC,#FFFFFF,Not Available,BTP-GGBS,Bagmane Teck Park - Gottigere,BR2814,0,3,29,Bagmane Teck Park,Gottigere,0
BMTC,#FFFFFF,Not Available,279K,Kempegowda Bus Station - Patelappa Layout,BR1068,0,3,41,Kempegowda Bus Station,Patelappa Layout,0
BMTC,#FFFFFF,Not Available,279H,Kempegowda Bus Station - Boopa Sandra,BR1067,0,3,37,Kempegowda Bus Station,Boopa Sandra,0
BMTC,#FFFFFF,Not Available,279F,Chikkallasandra Bus Stand - Boopa Sandra,BR1066,0,3,40,Chikkallasandra Bus Stand,Boopa Sandra,0
BMTC,#FFFFFF,Not Available,95AB,Krishnarajendra Market - Kamalanagar BEML layout,BR2568,0,3,48,Krishnarajendra Market,Kamalanagar BEML layout,1
BMTC,#FFFFFF,Not Available,88,Basaveshwara Nagara - Kempegowda Bus Station,BR2541,0,3,44,Basaveshwara Nagara,Kempegowda Bus Station,0
BMTC,#FFFFFF,Not Available,279E,Kempegowda Bus Station - Boopa Sandra,BR1065,0,3,37,Kempegowda Bus Station,Boopa Sandra,0
BMTC,#FFFFFF,Not Available,89,Kurubarahalli - Kempegowda Bus Station,BR2544,0,3,38,Kurubarahalli,Kempegowda Bus Station,0
BMTC,#FFFFFF,Not Available,V-226ELC,Bidadi Bus Stand - Electronics City,BR4036,0,3,35,Bidadi Bus Stand,Electronics City,0
BMTC,#FFFFFF,Not Available,YST-YST-5,Yelahanka Satellite Town - Yelahanka Satelite Town 5th Phase,BR4268,0,3,60,Yelahanka Satellite Town,Yelahanka Satelite Town 5th Phase,0
BMTC,#FFFFFF,Not Available,NML-BLJ,Nelamangala - Bilijaji,BR3829,0,3,22,Nelamangala,Bilijaji,0
BMTC,#FFFFFF,Not Available,KSGH-KBS,Kodegehalli Sigehalli Bus Stand - Kempegowda Bus Station,BR3654,0,3,56,Kodegehalli Sigehalli Bus Stand,Kempegowda Bus Station,0
BMTC,#FFFFFF,Not Available,MF-4,Kalyananagara Bus Stand - Central Silk Board,BR3728,0,3,44,Kalyananagara Bus Stand,Central Silk Board,0
BMTC,#FFFFFF,Not Available,MF-5,Central Silk Board - Old Bayappanahalli,BR3729,0,3,39,Central Silk Board,Old Bayappanahalli,0
BMTC,#FFFFFF,Not Available,MF-6,Thambuchetty Palya - Mangammana Palya,BR3730,0,3,37,Thambuchetty Palya,Mangammana Palya,0
BMTC,#FFFFFF,Not Available,MF-7,Srinivasapura - Kadugodi,BR3731,0,3,24,Srinivasapura,Kadugodi,0
BMTC,#FFFFFF,Not Available,HBL-SCMSP,Hebbala - Sambram College MS Palya,BR3380,0,3,34,Hebbala,Sambram College MS Palya,0
BMTC,#FFFFFF,Not Available,MF-9,Domlur - ITI Gate,BR3732,0,3,17,Domlur,ITI Gate,0
BMTC,#FFFFFF,Not Available,PSS-SAEC,Peenya 2nd stage - Sri Ayyapa Educational Center,BR3892,0,3,48,Peenya 2nd stage,Sri Ayyapa Educational Center,0
BMTC,#FFFFFF,Not Available,401JA,Yeshwanthpura - Razak Palya,BR2191,0,3,27,Yeshwanthpura,Razak Palya,0
BMTC,#FFFFFF,Not Available,D12-NBC-SMH,BMTC Depot-12 Gate Kengeri - Summanahalli,BR3206,0,3,41,BMTC Depot-12 Gate Kengeri,Summanahalli,0
BMTC,#FFFFFF,Not Available,401JC,Yeshwanthpura - Bande Kodigehalli,BR2192,0,3,33,Yeshwanthpura,Bande Kodigehalli,0
BMTC,#FFFFFF,Not Available,CR215K,Patalamma Temple Uthrahalli - KM SCHOOL,BR3043,0,3,39,Patalamma Temple Uthrahalli,KM SCHOOL,0
BMTC,#FFFFFF,Not Available,245GA,Kadabagere - Kempegowda Bus Station,BR712,0,3,35,Kadabagere,Kempegowda Bus Station,0
BMTC,#FFFFFF,Not Available,MP-45F,Chennamma kere Achukattu - Kempegowda Bus Station,BR3754,0,3,49,Chennamma kere Achukattu,Kempegowda Bus Station,0
BMTC,#FFFFFF,Not Available,D16-VPS,Deepanjalinagara Depot-16 - Vidyaniketan School,BR3213,0,3,47,Deepanjalinagara Depot-16,Vidyaniketan School,0
BMTC,#FFFFFF,Not Available,MP-45G,Kempegowda Bus Station - Depot-13-BS,BR3755,0,3,36,Kempegowda Bus Station,Depot-13-BS,0
BMTC,#FFFFFF,Not Available,401KM,Malleshwaram Bus Station - Kengeri TTMC,BR2197,0,3,39,Malleshwaram Bus Station,Kengeri TTMC,0
BMTC,#FFFFFF,Not Available,SBS-BDG,Shivajinagar Bus Station - Budigere,BR3926,0,3,35,Shivajinagar Bus Station,Budigere,1
BMTC,#FFFFFF,Not Available,VSD-ATB,Vidhana Soudha - Attibele,BR4226,0,3,25,Vidhana Soudha,Attibele,0
BMTC,#FFFFFF,Not Available,KHC-STP,Karnataka High Court - Sulthan Palya,BR3590,0,3,36,Karnataka High Court,Sulthan Palya,0
